last_tag_seen	tag_visible	tag_x_coord	tag_distance	bumping	drive_command
d	d	c	c	d	d
3	t	115	2224	f	l
3	t	115	2226	f	l
3	t	115	2223	f	l
3	t	115	2217	f	l
3	t	116	2189	f	l
1	t	135	1867	f	r
3	t	162	2261	f	r
3	t	162	2311	f	r
3	t	163	2261	f	r
3	t	163	2267	f	r
3	t	163	2239	f	r
3	t	163	2238	f	r
3	t	163	2246	f	r
3	t	163	2240	f	f
3	t	155	2249	f	f
3	t	146	2226	f	f
3	t	145	2233	f	f
3	t	145	2229	f	f
3	t	145	2224	f	f
3	t	145	2222	f	f
3	t	145	2235	f	f
3	t	145	2232	f	f
3	t	145	2260	f	f
3	t	145	2218	f	f
3	t	145	2260	f	f
3	t	145	2233	f	f
3	t	145	2224	f	f
3	t	145	2235	f	f
3	t	145	2230	f	f
3	t	145	2217	f	f
3	t	145	2226	f	f
3	t	145	2245	f	f
3	t	145	2220	f	f
3	t	145	2228	f	f
3	t	145	2219	f	f
3	t	145	2239	f	f
3	t	145	2228	f	f
3	t	145	2231	f	f
3	t	145	2245	f	f
3	t	145	2250	f	f
3	t	145	2224	f	f
3	t	145	2234	f	f
3	t	145	2211	f	f
3	t	145	2231	f	f
3	t	145	2224	f	f
3	t	145	2227	f	f
3	t	145	2229	f	f
3	t	144	2190	f	f
3	t	142	2180	f	f
1	t	143	1843	f	f
3	t	146	2060	f	f
3	t	146	2100	f	f
3	t	146	1696	f	f
3	t	146	2117	f	f
3	t	146	2096	f	f
3	t	146	2100	f	f
3	t	146	2098	f	f
3	t	146	2096	f	f
3	t	146	2092	f	f
3	t	146	2101	f	f
3	t	146	2096	f	f
3	t	146	2102	f	f
3	t	146	2102	f	f
3	t	146	2101	f	f
3	t	146	2101	f	f
3	t	146	2094	f	f
3	t	146	2098	f	f
3	t	146	2098	f	f
3	t	146	2096	f	f
3	t	146	2096	f	f
3	t	145	2110	f	f
3	t	145	2075	f	f
3	t	145	1966	f	f
0	t	147	1975	f	f
0	t	147	1889	f	f
3	t	148	1819	f	f
3	t	151	1745	f	f
3	t	152	1821	f	f
3	t	151	1786	f	f
3	t	151	1786	f	f
3	t	151	1798	f	f
3	t	151	1814	f	f
3	t	151	1793	f	f
3	t	151	1807	f	f
3	t	151	1808	f	f
3	t	151	1805	f	f
3	t	151	1796	f	f
3	t	151	1792	f	f
3	t	151	1798	f	f
3	t	151	1809	f	f
3	t	151	1807	f	f
3	t	151	1813	f	f
3	t	151	1799	f	f
3	t	151	1808	f	f
3	t	151	1799	f	f
3	t	149	1503	f	f
3	t	150	1470	f	f
3	t	150	1410	f	f
3	t	151	1596	f	f
3	t	151	1533	f	f
3	t	151	1430	f	f
3	t	151	1390	f	f
3	t	152	1346	f	f
3	t	152	1343	f	f
3	t	151	1217	f	f
3	t	151	1230	f	f
3	t	151	1217	f	f
3	t	151	1217	f	f
3	t	151	1217	f	f
3	t	151	1218	f	f
3	t	151	1217	f	f
3	t	151	1218	f	f
3	t	151	1218	f	f
3	t	151	1217	f	f
3	t	151	1218	f	f
3	t	151	1217	f	f
3	t	151	1217	f	f
3	t	152	1370	f	f
3	t	152	1372	f	f
3	t	150	1340	f	f
3	t	149	1148	f	f
3	t	149	1225	f	f
3	t	150	1212	f	f
3	t	149	1017	f	f
3	t	149	955	f	f
3	t	150	992	f	f
3	t	149	862	f	f
3	t	149	821	f	f
3	t	150	772	f	f
3	t	150	739	f	f
3	t	150	734	f	f
3	t	152	703	f	f
3	t	149	719	f	f
3	t	149	719	f	f
3	t	150	710	f	f
3	t	150	710	f	f
3	t	150	703	f	f
3	t	150	703	f	f
3	t	150	703	f	f
3	t	150	703	f	f
3	t	150	703	f	f
3	t	150	703	f	f
3	t	150	703	f	f
3	t	149	709	f	f
3	t	149	675	f	f
3	t	149	631	f	f
3	t	149	590	f	f
3	t	147	536	f	f
3	t	148	486	f	f
3	t	149	480	f	f
3	t	150	482	f	f
3	t	149	480	f	f
3	t	149	503	f	f
3	t	150	502	f	f
3	t	149	478	f	f
3	t	150	502	f	f
3	t	147	486	f	f
3	t	145	423	f	f
3	t	144	377	f	f
3	t	143	321	f	f
3	t	144	294	f	f
3	t	143	290	f	f
3	t	144	287	f	f
3	t	144	287	f	f
3	t	144	288	f	f
3	t	144	287	f	f
3	t	144	288	f	f
3	t	144	297	f	f
3	t	144	287	f	f
3	t	144	297	f	f
3	t	144	288	f	f
3	t	144	288	f	f
3	t	144	297	f	f
3	t	144	297	f	f
